"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"P2RY13",78.6305696511934,-1.29819491135686,0.336229310564534,-3.86104027985298,0.00011290528643001,0.0183294149328241
"ZBTB20",142.656392711055,-1.94272266919626,0.468843506582241,-4.143648449689,3.41823622136199e-05,0.00941269756449477
"NEB",203.123889130724,-1.80588171497792,0.431243715494655,-4.18761282794928,2.8190388705295e-05,0.0082872123769593
"FAM162B",14.1862624734308,1.26156958484825,0.318507673322342,3.96087658325108,7.46751236025209e-05,0.0146349787283715
"SLITRK6",732.381695110201,-3.82113902230461,0.619561348288342,-6.1674909722197,6.93820726589146e-10,1.88667201077753e-06
"B3GALT5-AS1",46.3093762015119,1.86958939150115,0.477476011579276,3.91556716182953,9.01919321360619e-05,0.0162151676998999
"RFX6",16.6098228766723,-1.99034547666234,0.584816491674879,-3.4033675605866,0.00066560673206895,0.0493292305636124
"KRT6B",264.494160444936,1.64366126760052,0.479746707275267,3.42610223827431,0.000612309857736684,0.0474028065665616
"GPAT2",46.2057452107428,1.37221917828545,0.344600536741272,3.98205757675797,6.83212228719549e-05,0.0142909604072741
"KLK12",222.148268828295,-2.11532706300832,0.592651839312309,-3.56925756859688,0.000357994327436012,0.0367914491558334
"CYP4F8",18.8399813868196,1.66839204535469,0.481792976327168,3.46288162619819,0.00053442345326309,0.0433800291130047
"MAPT",92.9189291076165,1.86714386878,0.390864587443903,4.77695838599852,1.77966585092434e-06,0.00117317730063661
"C11orf96",558.815649408836,1.27315231600403,0.296227562171155,4.2978860801225,1.72434741677612e-05,0.00568355359159813
"SAMD11",125.778456317304,1.29012356706495,0.360853585927988,3.5751995196257,0.000349960907135475,0.0365185517413382
"GABRD",71.4090012616268,1.43988841257057,0.273528805459796,5.26411984342985,1.40862545247395e-07,0.000170240211628435
"ZSCAN23",13.8110821252843,-2.1228242493415,0.61114846654555,-3.47350008311488,0.000513717204240739,0.0423310759888373
"EYS",36.9511553000691,-1.50925660460144,0.376698893206754,-4.0065331537172,6.16164798716105e-05,0.0133932582069764
"HEPACAM2",1250.92305025508,-2.47009681607356,0.648145161553501,-3.81102407700326,0.000138392285771502,0.0209068457268976
"NPIPP1",91.8540960862908,1.0095748589501,0.254087199230596,3.97334010531504,7.08717397797021e-05,0.0144088208146508
"ZNF724",42.8591114638243,-1.20740357643872,0.312032680529691,-3.86947794823635,0.000109068645286146,0.0181163560660716
"CCDC196",33.6225277691945,-1.89318244871308,0.537555369225479,-3.52183711129296,0.000428567385951443,0.0400553951160196
